,Unnamed: 0,sentence_reviews,Score,Class
746,746,Performance,4,Positive
747,747,I have done  a speed  test  w,5,Positive
748,748,mobile is very good it is worth the money camera is also very good May not play the game otherwise its processor is a plus point for me,4,Positive
749,749,Amazing phone thank you flipkart for fast delivery value for money,5,Positive
750,750, Camera is just wow,5,Positive
751,751, awesome and fabulous,5,Positive
752,752, 😊😊😊😊😊😊😊,5,Positive
753,753,I have Poco X2 and Poco X3 pro now,3,Positive
754,754,,4,Positive
755,755, still battery is an issue with both mobiles,3,Positive
756,756,even with 60hz setting and turning off battery consuming settings,1,Negative
757,757, i am still not able to get full day without charge,2,Negative
758,758, Charging in morning 7-8 am ,5,Positive
759,759, battery gets drained out by 6-7 pm,1,Negative
760,760, barely 12 hours of use,1,Negative
761,761, and also in non usage time or standby time,1,Negative
762,762, battery is draining fast,2,Negative
763,763,The only time battery gets improved is to keep battery saver ON everytime and then you will be able to get 1 and half days of ,4,Positive
764,764,Good mobile ,4,Positive
765,765, i need more features like battery and camera ,3,Positive
766,766,im not satisfy with other mobile i like more this mobile thank you ,2,Negative
767,767, Game purpose blindly take it,3,Positive
768,768,Amazing phone! Bought it a month ago so I would like to mention some pros n cons in my povCONS1,5,Positive
769,769, Biggest con is the inbuilt phone app,1,Negative
770,770, which can only record selected calls or all unsaved numbers,1,Negative
771,771," That's not the problem it also gives invoice notification in call that ""your call is now being recorded""",3,Positive
772,772, Phone heats up a little much more around 43° during charging,3,Positive
773,773, MIUI software issues like sometimes you need to tap 2 to 3 times to open the menu,2,Negative
774,774, No handsfree call recieving option in g,3,Positive
775,775,Okay i'll first say this its a beast in performance,3,Positive
776,776,Pros× Excellent battery Life× Excellent Gaming× Good Speakers× Good call quality× Sd860 gives you all the freedom for custom roms in the future× pre applied scree guard× Charging is also very good× No noticable Network issues× Storage is plenty 110/128× No noticable heating issuesCons× Screen is Average× Camera is Okayish ,4,Positive
777,777, 48mp is not a gimmickFront camera is also okay× UI is kinda sluggish and came with lot of bloatware,3,Positive
778,778,Superb phone Camera quality is good,5,Positive
779,779, Very nice phone Game best wala phone And most powerful phone Snapdragon 860 g most powerful Game turbo unbelievable👍👍👍,5,Positive
780,780,Excellent performance,5,Positive
781,781, Excellent stereo sound experience,5,Positive
782,782,  Excellent smartphone for gaming and hard user's ,5,Positive
783,783, Total poisa usul ,5,Positive
784,784,Cons,5,Positive
785,785,IPS display not Super Amoled ,2,Negative
786,786,Just one problem and if you considered it then you got a BEST smartphone with SD-860 processor,1,Negative
787,787,DON'T BUY THIS DEVICE!! I can explain why,1,Negative
788,788, I bought this device 1 year ago and I was satisfied with the performance till few weeks back and then comes the software update 12,4,Positive
789,789,6,5,Positive
790,790,I dont even know what happened with the device ; it became dead without any single external damage,1,Negative
791,791,And now all my data are gone and when I approached Service centre,1,Negative
792,792, they says that replacement of this device with Mi Note 10 pro is not possible as the warrenty expired,1,Negative
793,793, But the fault is not on my side; its on the comp,3,Positive
794,794,Its nice phone display was awsome dont thing about ips vs amoled display I think better is ips display camera is ok battery is good performance is super And don't think about phone is weight this is normal weight,3,Positive
795,795,Review is as simple as that,4,Positive
796,796, if you want a performance based phone like GAMING and LONG TERM use,4,Positive
797,797, just GO for it,5,Positive
798,798,CAMERA quality is above AVERAGE and below GOOD,2,Negative
799,799,BATTERY and CHARGING is GOOD,4,Positive
800,800,Display is at its best in IPS display range,5,Positive
801,801, (Butter smooth 120hz)Beareble heating and cooling technology works COOL,5,Positive
802,802,I will get to the point,4,Positive
803,803,phone maintains good fps ,4,Positive
804,804, heats up a lot without proper Air conditioning,3,Positive
805,805,camera is below average to be honest ,3,Positive
806,806, does take good low-light photos,3,Positive
807,807,and there is some kind of slow internet issue on a cellular network,3,Positive
808,808,I have checked everything aspect of the problem and I have came ro the conclusion that its a software issue,1,Negative
809,809, honestly this phone would be much better on a stock android operating system!,3,Positive
810,810, Good and bright display 2,4,Positive
811,811, Camera is good ,4,Positive
812,812, inLow-light performance Is not Good3,2,Negative
813,813, Awesome performance          Best for gaming,5,Positive
814,814,Hardware of the phone is very reasonable for the price,3,Positive
815,815, However,3,Positive
816,816, like all Xiaomi phones in the recent days,5,Positive
817,817, the UX (user experience) is bad compared to the good old days during 2014-2017 when there was less to no bloatware or ads in the UI,2,Negative
818,818, If the UX and UI isn't a priority for yourself,3,Positive
819,819, this is one of the well made phones,5,Positive
820,820, especially with the IR sensor which I find  ery useful on travels or even at home to handle remote operated devices,4,Positive
821,821,Very good product and great service filpkart great product in tha and great service,5,Positive
822,822,Good mobile with good battery life,4,Positive
823,823, Camera is also good,4,Positive
824,824, After a few updates,3,Positive
825,825, 4g+ is also seen,4,Positive
826,826, MI software is the most horrible on a 5/5 hardware,1,Negative
827,827, hoping it will improve over time,3,Positive
828,828, it keeps killing apps to save battery even after turning OFF the battery optimization,5,Positive
829,829, Full charge within an hour,5,Positive
830,830, Call quality is very good and speaker quality and sound volume is very good,5,Positive
831,831, fills a room,5,Positive
832,832, Value for money,5,Positive
833,833, highly recommended buy,5,Positive
834,834,Phone's designed is  super-duper and also have a excellent processor value of money it is no more heavy  ,5,Positive
835,835, it's inhand weight not feel heavy ,3,Positive
836,836,if you are gamer go for this device it's performance is like heavy drive 😂🤍 most powerful processor in this pricerange go for it ,5,Positive
837,837,Pro-1,5,Positive
838,838, very smooth 2,5,Positive
839,839, Very good battery 3,5,Positive
840,840, Camera is good 4,4,Positive
841,841, Very good sd870 processor High possibility of running for long timeCons1,5,Positive
842,842, Not good design2,1,Negative
843,843, Samoled display missing,1,Negative
844,844, display failed to please3,1,Negative
845,845, Slightly heavy,3,Positive
846,846,Pros:1,5,Positive
847,847, Equipped with SD 860 flagship level processor,5,Positive
848,848, 6GB RAM and 128GB storage,5,Positive
849,849, Hence device is fast enough with enough storage,3,Positive
850,850, Premium 6,5,Positive
851,851,"67"" LCD display",4,Positive
852,852, Black is deeper than cheap AMOLED displays,2,Negative
853,853, Stereo speakers,4,Positive
854,854, 33W fast charger included,5,Positive
855,855, Camera is good enough,4,Positive
856,856, Can deliver crisp and clear photos in moderate to good lighting conditions,4,Positive
857,857,Cons: Still I didn't find any con,3,Positive
858,858, But one thing is to mention,3,Positive
859,859, Though it has a large battery of 5000mAh still I think the battery drains ,3,Positive
860,860,In my opinion this is the best smartphone you can get under 20k,5,Positive
861,861,Pros,5,Positive
862,862, very useable and good camera,5,Positive
863,863, Very nice 120htz display if your last phone also had LCD,5,Positive
864,864, but if it wasOLED than i dont know what will it feel like but i think its the best lcd display,4,Positive
865,865, Very good battery,5,Positive
866,866, which lasted me on heavy usage for like 7 hours on full charge,2,Negative
867,867, but if you dont use so much phone in a day then you dont have to charge it for 3 daya i think,3,Positive
868,868, For performance you just need the name of the proc,4,Positive
869,869,It's very big in size than my initial expectations and would have preferred better battery life than fast charging ,3,Positive
870,870, other than that it's truly a value for money phone,4,Positive
871,871, Everything is perfect about this phone compared to price,5,Positive
872,872, Switching from poco f1 it's to bring to notice of you all when you record a call the other person will get a beep saying that your call is recorded which doesn't used to happen in my previous phone,1,Negative
873,873, Else best phone for its price,3,Positive
874,874,this product is very good and giving the best gaming performance,5,Positive
875,875,poco x3 pro is the best product for value of  money,5,Positive
876,876,I love this Mobil and it's battery is very nice and it's camera is not okk ,5,Positive
877,877, it's okk while in day time it's display is not okk in out side ,3,Positive
878,878, inside its best,5,Positive
879,879,Writing review after 14 days of hardcore UseageCamera is too darkDisplay is good and smoothIf we put display on 120hz refresh rate then battery gets drained quickly than 60 Lagging in genshin impact gameBut pubg runs very smooth Best phone for gamers not so for person who like photography,2,Negative
880,880,Very nice phone under 19 k ,5,Positive
881,881, Gaming performance is awesome ,5,Positive
882,882, Battery backup is okk But overall best phone,4,Positive
883,883,Beast device worth the price does heat up at times ,4,Positive
884,884, a worth 8 series Snapdragon in this price range,5,Positive
885,885, camera average ,3,Positive
886,886, is a gaming monster and good battery life with a 33w charger fast charging with Gorilla glass 6 protection and also a headphone jack,5,Positive
887,887, all this for 19k and offers,5,Positive
888,888, im CYKD,5,Positive
889,889, Now this is a FLAGSHIP OVERKILL,5,Positive
890,890,It's super cool I'm loving it charging is super fast,5,Positive
891,891,  big display,5,Positive
892,892,  loud sound,5,Positive
893,893, good camera ( if you are reading this then stream fearless TV) LOL,4,Positive
894,894,This mobile look very good but,4,Positive
895,895, Needs a big update just like 3-5gb like,3,Positive
896,896, Audio quality during call is too much worst,1,Negative
897,897, Game booster doesn't have call or notifications blocking system and background call option is not available during game,1,Negative
898,898, Screen recorder doesn't record system sounds,1,Negative
899,899, Chrome browser doesn't work properly in this phone,1,Negative
900,900, if you exit browser download will be stop,1,Negative
901,901, Doesn't have any off display gesture just like music change,2,Negative
902,902, double tap to screen wake-up and many more gesture,5,Positive
903,903,Good phone,4,Positive
904,904, value for money ,5,Positive
905,905, usd it for one week and great performance with 120hz smooth refresh rate ,5,Positive
906,906, I use it roughly like all time,5,Positive
907,907, for me battery will come around for 12 hours ,4,Positive
908,908, not bad if u use it smoothly with less usage you will get battery back up for 1 day ,3,Positive
909,909, camera is ok with 48mp I liked the phone for this price range it will be the best phone,4,Positive
910,910,For me the most important thing is processor,5,Positive
911,911, And you know it can run bgmi in smooth extreme balanced extreme hd extreme hdr extreme ultra hd ultra,5,Positive
912,912, That's the exact settings of i phone,3,Positive
913,913, What else do i need,5,Positive
914,914, From this I can very well understand it's capabilities,5,Positive
915,915, And come on guys those who are saying it's camera is bad,1,Negative
916,916, It has a decent camera and u will like it,4,Positive
917,917, Unless you are tiktoker 😂😂😂,1,Negative
918,918,Amazing performance,5,Positive
919,919, little heavy and feels just like any other android phone,4,Positive
920,920, Performance is top notch,5,Positive
921,921, Ufs 3,5,Positive
922,922,1 really makes a difference,5,Positive
923,923,Camera is good ,4,Positive
924,924, my poco x2 has much better camera,2,Negative
925,925, I use Gcam which gives better images than stock app,4,Positive
926,926, Speakers are good,4,Positive
927,927,Display looks good considering its lcd,4,Positive
928,928, Produce good colors doesn't oversaturate the image like many amoleds,4,Positive
929,929, Peak brightness is average,3,Positive
930,930, manageble,4,Positive
931,931, Charging speed is good,4,Positive
932,932, Overall is a worthy phone,4,Positive
933,933, Best under 20k if you're fin,3,Positive
934,934,This phone is best for gaming and is value for money although the it has a lcd display the display is awesome in itself and the camera is good not the best if u need a good camera go for redmi note 10 pro max ,4,Positive
935,935, for performance and gaming this phone is beast in this prize range,5,Positive
936,936,Hii you know poco x3 pro is a gamaing phone ,5,Positive
937,937, This is a value for money ,5,Positive
938,938,,4,Positive
939,939, this phone in a one problem is a very heating  ,3,Positive
940,940, When I Play games this phone is a very heating ,3,Positive
941,941, please fix this problem,1,Negative
942,942,thank you,5,Positive
943,943,Not worthy and Not so good as F1Looks bulky & heavy,2,Negative
944,944, Display is very dull,2,Negative
945,945, In sunlight,5,Positive
946,946, U will struggle alot to see the screen on highest brghtness too,2,Negative
947,947, If compared with other same panel devices,3,Positive
948,948, this device display is worst,1,Negative
949,949, Battery is okay,3,Positive
950,950, Realme camera under 10k is far better than this Poco X3 Pro,5,Positive
951,951, Soo called powerful processor chipset is not upto the mark where PUBG & COD hangs and has to restart the game,2,Negative
952,952, Mi Note 10,5,Positive
953,953, 10 pro nd 10 pro mAx are also the same,5,Positive
954,954, xcpt their display,5,Positive
955,955,Better go,3,Positive
956,956,For me the most important thing is processor,5,Positive
957,957, And you know it can run bgmi in smooth extreme balanced extreme hd extreme hdr extreme ultra hd ultra,5,Positive
958,958, That's the exact settings of i phone,3,Positive
959,959, What else do i need,5,Positive
960,960, From this I can very well understand it's capabilities,5,Positive
961,961, And come on guys those who are saying it's camera is bad,1,Negative
962,962, It has a decent camera and u will like it,4,Positive
963,963, Unless you are tiktoker 😂😂😂,1,Negative
964,964,Amazing performance,5,Positive
965,965, little heavy and feels just like any other android phone,4,Positive
966,966, Performance is top notch,5,Positive
967,967, Ufs 3,5,Positive
968,968,1 really makes a difference,5,Positive
969,969,Camera is good ,4,Positive
970,970, my poco x2 has much better camera,2,Negative
971,971, I use Gcam which gives better images than stock app,4,Positive
972,972, Speakers are good,4,Positive
973,973,Display looks good considering its lcd,4,Positive
974,974, Produce good colors doesn't oversaturate the image like many amoleds,4,Positive
975,975, Peak brightness is average,3,Positive
976,976, manageble,4,Positive
977,977, Charging speed is good,4,Positive
978,978, Overall is a worthy phone,4,Positive
979,979, Best under 20k if you're fin,3,Positive
980,980,This phone is best for gaming and is value for money although the it has a lcd display the display is awesome in itself and the camera is good not the best if u need a good camera go for redmi note 10 pro max ,4,Positive
981,981, for performance and gaming this phone is beast in this prize range,5,Positive
982,982,Don't buy this phone my mob got suddenly dead after 1 year for no reason! And many people having same issueDont or you will loose your money,1,Negative
983,983,Hii you know poco x3 pro is a gamaing phone ,5,Positive
984,984, This is a value for money ,5,Positive
985,985,,4,Positive
986,986, this phone in a one problem is a very heating  ,3,Positive
987,987, When I Play games this phone is a very heating ,3,Positive
988,988, please fix this problem,1,Negative
989,989,thank you,5,Positive
990,990,It's not a gaming phone when you game play It's hang automatically fire ,1,Negative
991,991, move ,5,Positive
992,992, msg tab opne and close etc,4,Positive
993,993, like ghost playing your phone you can't control your phone whenever it's happen,5,Positive
994,994,Battery backup is good ,4,Positive
995,995, phone is over heated when you charged or playing games or anything you do,1,Negative
996,996,Sound quality is good ,4,Positive
997,997, when you play music or anything else on full volume it's vibrate 📳 your phone,1,Negative
998,998,Camera is good not best,3,Positive
999,999,Performance is very poor,2,Negative
1000,1000,So don't buy this phone,1,Negative
1001,1001,A little bit of storage moves up phone start laging in bgmi or pubg or in normal use also,4,Positive
1002,1002, And file manager take very long time to process files and to desplay them,5,Positive
1003,1003, Display after 5 monthes starts giving a little problem,3,Positive
1004,1004, During playing games when we want to rotate screen upside down it did not work,1,Negative
1005,1005, Camera is not so outsatanding ,3,Positive
1006,1006, like a normal 10k phone like camera,5,Positive
1007,1007, Overall performance is okay ,3,Positive
1008,1008, not so good due to many bugs in phone,2,Negative
1009,1009, Maybe my review not desplay to everyone ,1,Negative
1010,1010, who ever ,5,Positive
1011,1011,I bought this phone on 06 May 2021 ,5,Positive
1012,1012, And today its 19 june 2022 ,5,Positive
1013,1013, MY PHONE IS DEAD WITHIN A YEAR ,1,Negative
1014,1014, Dont buy thiss phone ,1,Negative
1015,1015, I  m going to file a case against Flipkart and Poco ,1,Negative
1016,1016,  Money Wasted,1,Negative
1017,1017,The camera is only average,3,Positive
1018,1018, but the battery life is phenomenal but the highlight of this phone is it's display this is the best lcd panel I've seen on a phone but the value for money aspect when compared to the top spec poco x3 is questionable but as this phone provides unmatched raw performance in this segment it's a great deal just note that this phones primarily excels at gaming and not photography also refrain from doing the 12,4,Positive
1019,1019,5 miui update as the phone heats up quicker compared to how u,5,Positive
1020,1020,I didn't bought this phone for playing games but to perform day to day task like browsing,4,Positive
1021,1021,reading pdf and I have a heavy requirement that tabs shouldn't reload when switching through apps,3,Positive
1022,1022, I got what I expected,5,Positive
1023,1023,The suprise for me was the camera video recording that records slow motion video at 960fps at 720p and 1080p,5,Positive
1024,1024,Watching standing waves and drop of water falling into the bucket was very informative ,4,Positive
1025,1025, you can record only for a few seconds,3,Positive
1026,1026,The screen was a dull compared to my previous,2,Negative
1027,1027,Never buy this phone ,1,Negative
1028,1028, Please save your money ,1,Negative
1029,1029,,4,Positive
1030,1030,i used 5 months and the phone is dead 😔 don't buy this poco X3 pro ,1,Negative
1031,1031,If you are trying to buy a camera phone then just go to redmi note ten pro,5,Positive
1032,1032, If you are buying for performance then nothing in the 25000 range beats this phone,1,Negative
1033,1033, It's processor is top notch and has a decent camera + nice audio quality,5,Positive
1034,1034, Would definitely recommend,4,Positive
1035,1035,Best phone,5,Positive
1036,1036, Go for it if u want a phone for high performance,3,Positive
1037,1037, Not upto mark for photos ,3,Positive
1038,1038, great for me as I don't take too many pics,5,Positive
1039,1039, Vibrates when speaker is in use which is a bit irritating,3,Positive
1040,1040, Best for gaming,5,Positive
1041,1041,As expected the phone was phenomenal,5,Positive
1042,1042, 120hz display is very smooth no lag battery backup and charge time is very very good,5,Positive
1043,1043, Lasts a long time and charges up in no time thanks to the 33w inbox charger,5,Positive
1044,1044, The only downside is the camera not too good ,3,Positive
1045,1045, not too bad,3,Positive
1046,1046, Decent photos and video quality,4,Positive
1047,1047, The best part is the SD860 processor which is the main selling point of this device,5,Positive
1048,1048, Very smooth and lag free experience while gaming graphic settings at highest with no lag or framedrop,4,Positive
1049,1049, All in all go,5,Positive
1050,1050,After lot of survey,3,Positive
1051,1051, I had this mobile as one of the option,5,Positive
1052,1052, Considering the value for money and rapid change in technology,4,Positive
1053,1053,  my intention is to go for a mobile which gives max performance for the amount I spent and I opted for this mobile,5,Positive
1054,1054, It didn't let me down,2,Negative
1055,1055,Writing this review after a week usage and I didn't found any heating issues when playing videos from internet for 1 hr,1,Negative
1056,1056, Touch is really smooth without any lag and display is also good,5,Positive
1057,1057, Camera is okay,3,Positive
1058,1058, Sound is good ,4,Positive
1059,1059, observed slig,1,Negative
1060,1060,Superfast phone incomparable performance,5,Positive
1061,1061, Battery last all day,5,Positive
1062,1062, Rear camera doesn't take good photos,2,Negative
1063,1063, selfie camera is good,4,Positive
1064,1064, I would suggest GCAM app for good photos,3,Positive
1065,1065, Display is fine and bright,4,Positive
1066,1066, Fingerprint sensor is so quick,5,Positive
1067,1067, and Yess it heats up quickly,3,Positive
1068,1068, gaming ( BGMI 70FPS,4,Positive
1069,1069, FREEFIRE 60-70 FPS,3,Positive
1070,1070, REAL DRIVING SIM 58 FPS,5,Positive
1071,1071,)copy paste speeds are very fast 300-400MBPS in phoneand yes there is problem you cant access SD card in files it only shows videos and photos in gallery,3,Positive
1072,1072, no fix for tha,1,Negative
1073,1073,I love the phone very good best for free fire,5,Positive
1074,1074,Beast of a performance phone! Just blazing fast at everything and so much fun to play games on,5,Positive
1075,1075, The camera is decent and battery backup is also pretty good! Nothing comes close to the performance at the price point,4,Positive
1076,1076,Pros: Fantastic Processor,5,Positive
1077,1077, Ample RAM,5,Positive
1078,1078, I already used POCO F1 for 3 years and used to its UI,5,Positive
1079,1079, This phone is also great buy,5,Positive
1080,1080, With stable WiFi this phone works like a 30kPhone,5,Positive
1081,1081, I kept the 60hz screen refresh and tried the 120 hz,2,Negative
1082,1082, Fast and furious,5,Positive
1083,1083,Cons:Bit big and heavy,3,Positive
1084,1084, Also as battery didn't perform as expected,2,Negative
1085,1085,Poco X3 Pro is just a amazing phone but here are also some fault in this like sometimes it's get on but after a sec it does go off again and we have to re-on,3,Positive
1086,1086, and like back vibration and it's also heavy it almost of 250 Grams and to hold it for more can make u feel like u are holding something heavier but it's ok,3,Positive
1087,1087, It's not for Outside it's for inside mean this phone is built for performance and a biggest fault is if this phone get dropped in water it will harm you phone like anything,3,Positive
1088,1088, Alt,5,Positive
1089,1089,What a beast phone under 20,5,Positive
1090,1090,000/- segment,5,Positive
1091,1091, Powerful processor,5,Positive
1092,1092, best camera,5,Positive
1093,1093, best gaming experience,5,Positive
1094,1094, best in design,5,Positive
1095,1095, best in performance & good battery life,5,Positive
1096,1096, Only negatives are slightly heavier on the side & no Amoled screen,3,Positive
1097,1097, Highly recommended,5,Positive
1098,1098, I can bet you on that this phone can beat any flagship level phones,5,Positive
1099,1099," One word for ya ""Wow""",1,Negative
1100,1100,Performance is top notch thanks to SD860 ,5,Positive
1101,1101, camera is average ,3,Positive
1102,1102, battery is good ,4,Positive
1103,1103, display could have been better for this price ,3,Positive
1104,1104, yes X3 pro heats up while gaming ,5,Positive
1105,1105, and most audio vibrations on back are so frustrating ,2,Negative
1106,1106,would recommend only if u r gamer else there r many good alternatives,2,Negative
1107,1107,  also if u install a custom rom then this phone becomes much better,3,Positive
1108,1108,You are looking for this phone only for its processor and few other perks ,3,Positive
1109,1109,Phone works well as a mid tier gamer's phone,4,Positive
1110,1110, while camera performance is remarkable(not great) in comparison to its other competitors in the segment ,3,Positive
1111,1111,This is not a all rounder for average user ,3,Positive
1112,1112,   a promising device for long run ,5,Positive
1113,1113,(:Please note:)*Buy 8 GB version for future readiness,4,Positive
1114,1114,And get a hard case along with a rear camera glass protection,5,Positive
1115,1115,The processor is just amazing Especially if you are playing games there is  literally no lag,5,Positive
1116,1116,Camera i would rate 4/5Battery performance is also excellent and it comes with a  33W fast charger which is an advantage,4,Positive
1117,1117,Good phone at this price ,4,Positive
1118,1118, this phone doesn't have mhl support or usb 3,1,Negative
1119,1119,0 type c ,1,Negative
1120,1120, so if you buy for streaming you can't connect elgato with it ,3,Positive
1121,1121, Company is lagging in this department because poco its like best gaming phone under this budget ,2,Negative
1122,1122, it's not worthy if you can't stream your games,1,Negative
1123,1123,Backpanel Sound vibration isn't that big deal ,3,Positive
1124,1124, why its happening its actual reason age in the back panel has some void space inside which cause vibrate,2,Negative
1125,1125, I don't like is mic port is down side and I also don't like the restriction on the rotation of the screen it should be 360 ,2,Negative
1126,1126, it's only 90 and 270,2,Negative
1127,1127,Increase battery duration via Use 60hrzUse darkmodeUse auto brightnessDon't use live wallpaperCamera is little noisy with raw pixels,4,Positive
1128,1128,Backcover is free,4,Positive
1129,1129, tough,5,Positive
1130,1130, smooth,5,Positive
1131,1131, flexible,4,Positive
1132,1132, good gr,4,Positive
1133,1133,Very good phone don't listen to the YouTubers It is a very good phone the display is lcd ,5,Positive
1134,1134, in practical life the display is very good and it is also visible in sunlight,5,Positive
1135,1135, camera is also good very good battery backup,5,Positive
1136,1136,Conclusion: blindly go for this phone?,1,Negative
1137,1137,Giving it 5 stars because it is Price worthy,5,Positive
1138,1138, Amazing phone under 20000,5,Positive
1139,1139,Hi,5,Positive
1140,1140, I have been using this 6GB/128GB Black,5,Positive
1141,1141,version for more than a month now and it has been great,5,Positive
1142,1142, Using this phone feels premium,5,Positive
1143,1143, I did compare this phone with Redmi note 10 pro max because both phone had same price,4,Positive
1144,1144, And I do not regret choosing this phone over Redmi note 10pro max,5,Positive
1145,1145, Following is my experience of using:Unboxing was quite well,4,Positive
1146,1146, SD CARD SLOT: It is Hybrid haven't had any problem with that because I o,5,Positive
1147,1147,It is a good phone ,4,Positive
1148,1148, who want standard phone with nive camera this us not a good choice,1,Negative
1149,1149, But who want games and performance it is a good choice,3,Positive
1150,1150,Very good phone don't listen to the YouTubers It is a very good phone the display is lcd ,5,Positive
1151,1151, in practical life the display is very good and it is also visible in sunlight,5,Positive
1152,1152, camera is also good very good battery backup,5,Positive
1153,1153,Conclusion: blindly go for this phone?,1,Negative
1154,1154,Giving it 5 stars because it is Price worthy,5,Positive
1155,1155, Amazing phone under 20000,5,Positive
1156,1156,Hi,5,Positive
1157,1157, I have been using this 6GB/128GB Black,5,Positive
1158,1158,version for more than a month now and it has been great,5,Positive
1159,1159, Using this phone feels premium,5,Positive
1160,1160, I did compare this phone with Redmi note 10 pro max because both phone had same price,4,Positive
1161,1161, And I do not regret choosing this phone over Redmi note 10pro max,5,Positive
1162,1162, Following is my experience of using:Unboxing was quite well,4,Positive
1163,1163, SD CARD SLOT: It is Hybrid haven't had any problem with that because I o,5,Positive
1164,1164,It is a good phone ,4,Positive
1165,1165, who want standard phone with nive camera this us not a good choice,1,Negative
1166,1166, But who want games and performance it is a good choice,3,Positive
1167,1167,I'M A GAMER SO I WILL JUST SAY THE PROS OF PUBG COMPETITIVE GAMING,5,Positive
1168,1168, BEST DEVICE FOR BUDGET PLAYERS5-6 HOURS OF SMOOTH + EXTREME GAMINGAFTER INSTALLING ROM THIS DEVICE BECOMES BEAST90 FPS WILL ALSO WORK PERFECTLY AFTER ROM USEI GUARANTEE YOU THIS DEVICE IS BEAST,5,Positive
1169,1169,Phone is good ,4,Positive
1170,1170, this MIUI really sucksCamera is ok you can get a decent picsBattery is also good MIUI should update to give a decent performance It gets heated up too quickly and give a warning ,3,Positive
1171,1171, however manage the performance,3,Positive
1172,1172,Outstanding performance,5,Positive
1173,1173,value for money,5,Positive
1174,1174,Camera quality is cheap not an good camera,2,Negative
1175,1175,gaming is outstanding performance,5,Positive
1176,1176,I loved it it proves the processer power ,5,Positive
1177,1177,Then ,2,Negative
1178,1178,if we play pubg have some heating issues ,3,Positive
1179,1179,that irritating me ,2,Negative
1180,1180,and the vibration mode off setings is not available,2,Negative
1181,1181,Performance wise it's the better phone under 20 k,5,Positive
1182,1182,1 star I cut for camera and battery because my cousin has poco X3 camera and battery is much better than poco X3 pro ,1,Negative
1183,1183, I will suggest you Poco X3 pro because camera and battery both are more then sufficient then my need and it is not to big it size is equal to redmi note 9 pro and not to heavy my old phone is very light and small ,5,Positive
1184,1184, I am More comfortable with Poco X3 pro if you have a budget of 20000 and you want performance this is the best I think I din't like one think  will using speak,5,Positive
1185,1185,120hz display is awesome,5,Positive
1186,1186, 120 hz can be downgraded in settings to increase battery backup,3,Positive
1187,1187, Normal heating occurs while gaming for a considerable amount of time,3,Positive
1188,1188, Dual stereo speakers gives good feeling,4,Positive
1189,1189, The back panel of the phone vibrates with sound makes us more involved to music that the vibration we could feel on hands,3,Positive
1190,1190, Best part is the processor,4,Positive
1191,1191, High end processor coming with this model makes it very responsive,5,Positive
1192,1192, No lagging,3,Positive
1193,1193, Performance wise cool and dynamic,5,Positive
1194,1194, Camera department is very goo,3,Positive
1195,1195,This is one of the best smart phone for gaming under 20k,5,Positive
1196,1196,I really like this phone by its all sides,5,Positive
1197,1197, This is worthy buying ,5,Positive
1198,1198, Best performance and it's 120hz reality flow display with 240hz touch sampling can feel to use like a costly product that we use,5,Positive
1199,1199, Honestly I prefer to buy this phone if u really wants performance and normal camera users,3,Positive
1200,1200,Avoid this device at all costs,1,Negative
1201,1201, Its components are really cheap and the proof for it is my motherboard died twice and I'm still yet to get a response from the service centre of either poco or Flipkart,2,Negative
1202,1202,I just wish I never bought this garbage,1,Negative
1203,1203,please avoid at all costs before you regret later,1,Negative
1204,1204,Everything's packed well,5,Positive
1205,1205, brilliant performance,5,Positive
1206,1206, good battery,4,Positive
1207,1207, fast charging,5,Positive
1208,1208, excellent 120Hz refresh rate,5,Positive
1209,1209, and totally worth for the money,5,Positive
1210,1210, The Era of Poco F1 is back ,5,Positive
1211,1211, with one disadvantage,3,Positive
1212,1212, The camera is below average and the 48MP tag,2,Negative
1213,1213, and the multiple cameras are a total waste,1,Negative
1214,1214, Buy without a doubt,5,Positive
1215,1215, if you want performance and the battery run!,5,Positive
1216,1216,Amazing phone at this price range,5,Positive
1217,1217,Indeed a flagship killer,5,Positive
1218,1218, Excellent display,5,Positive
1219,1219, Superfast performance,5,Positive
1220,1220, A good camera,4,Positive
1221,1221,There's a little heating issue on progress prolonged usage,3,Positive
1222,1222, Battery drains a bit faster due to 120hz refresh rateHowever,3,Positive
1223,1223, an excellent performer and value for money,5,Positive
1224,1224,Hey guys I got it today and I just felt it was so good why people are expecting a pro cameras in a mid range phone actually I does pretty well in auto mode and excellent in pro mode and all other things was good not to complain about ,5,Positive
1225,1225, the only concern for me is I don't like miui coz before this I was using stock android that was soo cool than this ,3,Positive
1226,1226, other wise an extraordinary phone under 20 k and I don't think 8gig version is useful for day to day use,5,Positive
1227,1227,i am using this 8 days,5,Positive
1228,1228, its performance is excellent,5,Positive
1229,1229, i love its performance ,5,Positive
1230,1230, battery and camera is not good as i am expected,2,Negative
1231,1231, battery drain is too fast,2,Negative
1232,1232, not perform like 5000 mah ,1,Negative
1233,1233,  charging speed not fast like poco x3,3,Positive
1234,1234, overall you can buy  this if you compromise camera and battery ,3,Positive
1235,1235,Used 3 days as of now,1,Negative
1236,1236,( Previous 2 phone used-  Asus Zenfone max pro M1 replaced later with Poco X2 )Now upgraded to Poco X3ProImpressions - Chipset performance for Pubg is really awesome,5,Positive
1237,1237, you can play in graphics 'UltraHD' mode with frame rate 'ultra',4,Positive
