,sentence_reviews,Score,Class
588, this is not the case with this iPhone SE ,1,Negative
589,It comes with just 1821 mah battery ,3,Positive
590, trust me It gives 24hr battery backup which includes 4,5,Positive
591,5hr on screen time,5,Positive
592," Mostly I use my phone for WhatsApp, insta, news articles, YouTube music and puzzle games when I got time",3,Positive
593,"It’s display is good, looks like OLED one (",3,Positive
594, it is not),1,Negative
595,"Really happy with this device, have come from an iPhone 5S so a significant upgrade in features/performance etc",5,Positive
596, It might be a little small for some ,3,Positive
597, it ,3,Positive
598,Excellent Phone at a Great Price - But With Some Shortcomings,4,Positive
599,Firstly i got this phone for 24,5,Positive
600,5k so i would say it was a good bargain for me to get my first iphone ,4,Positive
601, Keeping this price in kind the performance of this phone is just awesome ,5,Positive
602, I am not much of a person who consumes lot of video content for me its a device which does its jobs very nicely ,3,Positive
603, Battery is bad for any average user ,1,Negative
604, since i use it mostly for calls texts and some banking apps it serves the purpose,4,Positive
605, This phone is for people who dont much of their time on phone and want a compact ,5,Positive
606,This is beautiful device which contain iconic A13 bionic chip,5,Positive
607, Chip makes this little device beast,5,Positive
608, I also enjoy six months Apple Music and Apple TV one year subscription free,5,Positive
609,Pocket friendly device both in terms of money and size,5,Positive
610,"Best compact phone ,camera is excellent Battery is average Display is very nice Performance is a power house🔥🔥🔥",5,Positive
611,"It's not the phone that has an issue, it's flipkart",3,Positive
612, I ordered this phone on 31st of July and promised date was 4th August,1,Negative
613, But I got the phone on 6th August,3,Positive
614, Doesn't sound like much of a delay ,2,Negative
615, it becomes a lot when u have a flight coming close and flipkart says your product will be delivered before 10th August,3,Positive
616, Like I could see clearly the phone is close to me (has reached my nearest hub),4,Positive
617," Now coming to the phone the display could've been better considering the price, ",3,Positive
618, it's not a bumm,3,Positive
619,Was never a great birthday gift for spouse,2,Negative
620, Power pack device,5,Positive
621, A13 brings life to whole performance,5,Positive
622," Except screen size and camera, performance wise it's a comparable and affordable device in comparison with 11 pro",4,Positive
623, Camera too works way better than comparable 12MP devices,5,Positive
624,  Battery lasts full day for normal usage including couple hours of youtube videos,3,Positive
625, Great work Apple,5,Positive
626,"Marking the return of the phone with great performance in a small form factor, this one does make it easy to love it",5,Positive
627,A well priced proposition with bang for the buck performance and the iOS level of confidence,4,Positive
628,The battery is only average ,3,Positive
629," that can also be improved if you are a little more aware, than the commonwealth, of the system software customisations",3,Positive
630,All in all a good phone with a great performance and a decent battery life,4,Positive
631,A device that will last for atleast 5 years with the latest softwares at your disposal,5,Positive
632, A camera you can always trust about its consistency,5,Positive
633, Very compact ,4,Positive
634," Battery is good, no matter what people say, if you are not gaming or not shooting videos for hours and hours, battery is solid with exceptional standby",4,Positive
635, Last ,2,Negative
636," not the least, Flipkart was amazing with its services",3,Positive
637, At every stage,5,Positive
638, Thank you,5,Positive
639,This phone is superb !!! At this budget it is very valuable,5,Positive
640," The camera,battery,display and sound everything is 100% for this budget",5,Positive
641, I am very happy with this phone,5,Positive
642, I have used it 2 months and I haven’t face any problem,5,Positive
643, I love it!!!,5,Positive
644,The iPhone se was good ,4,Positive
645," battery could not survive a day, if u r a Android user then I would suggest Mi11x and if u want to try iPhone then u can, ",1,Negative
646, battery life is very important and also have to buy a fast charger seperately can't count the flaws of this device as it is the cheapest iPhone,5,Positive
647,The best budget iPhone you can get,5,Positive
648," The camera: great for daylight images, only downside I would say is the lack of night sight, ",4,Positive
649, yeah it does the task,4,Positive
650, Performance: I will certainly be joking if I said I was experiencing issues with the phone’s performance,3,Positive
651, It’s A13 for god’s sake,5,Positive
652, The best processor in the market right now and I feel this is the reason most of us are buying,5,Positive
653, This phone is gonna last you more than any android in the same price segment will ever do,5,Positive
654, And that includes One,5,Positive
655,The phone is working awesome high speed the only demerit is size if you are okay with the size then you can buy the phone without even reading anything amazing built quality thankyou apple and flipkart the battery is awesome and everything is fine with the phone no problem faced till now,4,Positive
656,"iOS is always great for it's fluid and great performance, this phone is no different from that as A13 chip took it to next level",4,Positive
657,Cons: Battery could have been better due to increasing dependency on mobiles and apps in this digitized world,3,Positive
658,"If you don't know the benefits of the Apple ecosystem, this is the phone to introduce you to it and if you use it properly, you will never go backIt's (comparatively) reasonably priced",4,Positive
659," In fact given it's processor which is the same as one in iPhone Pro which costs more than a lakh plus Apples' updates thay go on for 5-6 years, it's probably better value than most ""cheaper"" phones out there",4,Positive
660,The camera is great and Touch ID in this age of mask wearing is perfect,5,Positive
661, Cons - battery isn't as ,3,Positive
662,"First iPhone as per my budget, thanks to Flipkart for providing it in a discount price",5,Positive
663, Purchased it for the strong privacy features of an iOS,5,Positive
664,"Reviewing after 5 days of use,Battery: Need to use very sincerely or use 20w adapter for 100% charge in 1 hour",1,Negative
665,"Camera: GoodPerformance: Very good, 1 app to another app opening performance very smooth",4,Positive
666,"Size: awesome, It's very handy to use by one palm and fingers only",5,Positive
667,Keyboard: After using 6inch Android smartphone its takes time to input the da,4,Positive
668,This is truly fab phone ,5,Positive
669,it is very handy 😀 Camera is superb  sound is great,5,Positive
670, Smooth performance,5,Positive
671, Se 2020 is my first iPhone  I really love this phone ,5,Positive
672,This is one of the best mobile,5,Positive
673, Since I’m using this phone from last 24 hours and I personally feel that it’s a complete packet,5,Positive
674," It contains everything, yes its display is bit smaller ",3,Positive
675, you don’t feel if you are comfortable with small phones,3,Positive
676, The A13 chip set is playing its best role,5,Positive
677, I personally feel that it’s good for normal person,4,Positive
678, Not for heavy gamers,2,Negative
679,After one month of use  finding it very nice and good product,5,Positive
680,exploring new features of ios 14 every day,5,Positive
681,the photos and selfies are awesome even with a single camera,5,Positive
682," In short any anyone who wishes to have a  power packed, sturdy ,reliable and "" Virus free"" long lasting  phone",5,Positive
683, Iphone SE 2020 is a better alternative ,3,Positive
684,"If battery will be ok, the entireIndia will buy this se 2020",3,Positive
685, All other brand will be failled in India and other parts of world,1,Negative
686,"As a senior citizen I feel it is easy to handle, waitless andI proud to have a super engine",5,Positive
687,"This is very great edition in iphone series, and very gud phone specially for whom who want to change from Andriod to iOS and this is my first iOS phone and i am very very to buy this product",5,Positive
688, It's really very very appreciable work done to Apple,5,Positive
689,I am very happy to this product &this is my observation that this product is called value of money,5,Positive
690,"I have been using the SE for a good 12-13 days now, have tried gaming ",3,Positive
691, i won't recommend buying this phone for power and gaming as that would drain the battery faster,2,Negative
692," The primary reason i went with the SE is the form factor and smaller screen, I wanted to cut down on my digital consumption and this has helped me do that",4,Positive
693,Pros:Super FastTaptic Engine is amazingVery Decent CameraGreat Build qualityEntry into Ios ecosystemSolid 5 years SupportCons:No night modeAverage batteryFor,5,Positive
694,I ordered the Red colored iPhone SE on 2-Jun,1,Negative
695, Flipkart gave date of delivery on 7-Jun ,1,Negative
696, due to lockdown it got delayed by 3 days and I received on 10-Jun,1,Negative
697, Good effort by Flipkart during such challenging times,4,Positive
698,The looks and feel of the phone is a class apart compared to other Android phones I have used in the past,4,Positive
699, The colour is awesome and hard to take your eyes off,5,Positive
700, The Product RED written at the back adds to its esthetic,5,Positive
701,It is easier on the grip being smaller and even with a back cove,3,Positive
702,Very cute phone and performance upto the standards of an Apple product,5,Positive
703, Great value for money ,5,Positive
704, may not be liked by those who watch videos and do gaming with current day larger display phones,2,Negative
705, A great product all in all,5,Positive
706,Battery sucks,1,Negative
707, It lasted 100% for 2 months then 99-96 in just one monthOther things are greatGreat camera great processor great screen and handy phone But there is not that much battery to enjoy it’s features,2,Negative
708,"Best budget iphone you could buy, i really recommend to those who are Android users and doesn't want to spend much ",5,Positive
709, still want to experience Iphone,3,Positive
710, Go for it,5,Positive
711, yeah people will say its battery is bad,1,Negative
712, If you are using it for long it definitly will not last long,3,Positive
713, But if you use it as secondary phone its a good chooice,3,Positive
714,I find it best phone in this size and price category,5,Positive
715," Display, camera, speed all is good, battery life may not look good if you are an extensive user of phone",4,Positive
716," On an average 2-3 hours of daily screen time, battery lasts for 2 days in one full charge, which is good enough for me",3,Positive
717, This size of phone gives comfortable feeling n grip in hand so i find it best,4,Positive
718,Shooting in 4K is like very cinematic,4,Positive
719, I get a screen time of 6 hours,4,Positive
720," I use Instagram, some trading apps and switching on hotspot gives a decent battery",4,Positive
721, Just go for it if you want to buy,3,Positive
722, Add on 20W charger to your cart,5,Positive
723, It charges 50% in 30 min,1,Negative
724, Super cool to use this little monster,5,Positive
725,I bought the phone on the sale at the best price,5,Positive
726," This phone is really a flagship phone it has all good features of all the earlier models iPhone 6,7 & 8",5,Positive
727, Pros1,5,Positive
728, The phone size is 4,4,Positive
729,"7” which is very good, better than the other mammoth",5,Positive
730, Battery backup is adequate one can get a days backup easily with average usage,4,Positive
731, Cameras quality is unmatched with any androids available in the maker,1,Negative
732, Memory and RAM are the best in iPhone one does not need to be bothered about it,5,Positive
733, It’s perfectly m,5,Positive
734,"Nice phone with great camera, loved it",5,Positive
735, Everything is perfect just the battery is not as good as expected,4,Positive
736,Its for only who loves small screen and with a performance beast,4,Positive
737, i love it and its awesome,5,Positive
738,RATINGS CAMERA - 5/5Performance - 5/5Battery - 5/3,5,Positive
739,5Design -5/4I love small display phones ,5,Positive
740, i love it its like,5,Positive
741,MINI MONSTER IN MY POCKET ,5,Positive
742,I did not find any issues with battery  Good battery backup Performance is outstanding Internet connectivity is outstanding I m fully satisfied People saying about battery ,5,Positive
743, i did not find any with battery Battery giving me a full day backupI am not gamer not a heavy user For me it is a beast,1,Negative
744,"If you want small size iphone like iphone 7 or 8 then it will best option for you, every thing you through on it just run very smoothly",4,Positive
745,genuine product,5,Positive
746,"If you are looking for a compact phone without compromising on performance and a fluid ux design, then you are going to love it",5,Positive
747," If you are also switching to Apple ecosystem from Android and want to go easy on your pocket, then this is one of the best choice",5,Positive
748,"Having said that you might miss dual sim slot, it comes with just one",3,Positive
749, No 3,1,Negative
750,"5 mm Jack for your headphones, ",5,Positive
751, then you don’t get it with any Apple products these days,1,Negative
752, Camera department could’ve done better in low light photography,3,Positive
753,Great phone,5,Positive
754, Tough to find such compact phones in the android world,5,Positive
755," If only Apple had given a charger and earphones, it'd have been awesome",5,Positive
756, Battery life is fine ,4,Positive
757, not that great,2,Negative
758, Rest everything is 10 on 10,5,Positive
759,Only good not best,2,Negative
760,Okey,3,Positive
761,Quality of apple feels in hand properly distinct from other smartphones ,5,Positive
762, Also very fast Hats off to A13 Bionic ,5,Positive
763,"Got this within 24 hours, thanks flipkart",5,Positive
764,Product red is awesome and shiny,5,Positive
765,Pros :1) Easy handling and 2) Easy data migration from Android to IOS using move to its app3) performance  is top notch with A13 bionic chips etc similar to iPhone 11,5,Positive
766, 4) Display is awesome5) awesome phone for 29kCons1) No power adaptor or headphones you have to buy it separately,5,Positive
767,  Adaptor alone is close to 2k,3,Positive
768,Amazing phone with an awesome offer,5,Positive
769,Not given charger,1,Negative
770,This phone is a jewel phone,5,Positive
771, It’s kind of feels premium to me,3,Positive
772,Battery strength is very bad,1,Negative
773," Hardly its working 12hrs after 100% charged, with very basic uses of phone",2,Negative
774,thinking to return it,1,Negative
775,Gets too hot when charging,2,Negative
776,It’s really good for those who are using first apple phone,4,Positive
777,Very bad shopping experience with Flipkart,1,Negative
778,"During app calls, especially through WhatsApp,  for 1hour22mins it goes down from 100% to 58% literally",1,Negative
779,"I've turned off the following 1)background internet usage of app, 2)auto brightness is off, 3)screen time is off, 4)auto lock set in 30 seconds,5)No gaming at all, not a single time, after all this that is what I've got as a result",1,Negative
780,"If you don't touch the phone after 100%, it stays at 98% after 24hours",1,Negative
781,"This is where it sucks alot, aka battery, all good features against this dropback",1,Negative
782,Fantastic mobile as it is Apple,5,Positive
783," Bought it in inr 32000 only, a steal deal in BBD",1,Negative
784, Don't think go for it,2,Negative
785," Superb speed, display, look, sleek design",5,Positive
786,amazing phone,5,Positive
787,Proximity sensors not working,1,Negative
788,This is a small beast,3,Positive
789,Niceeee,3,Positive
790,It's a awesome set camera quality is also good ,5,Positive
791, Battery survive almost a day with all day active in office,1,Negative
792,Just go for it! You will never regret after purchasing it,5,Positive
793,Superb,5,Positive
794,Superb phone,5,Positive
795, Display is good,4,Positive
796, Metallic finish,4,Positive
797, Camera is also nice,4,Positive
798, Only thing is battery is not so good,3,Positive
799, This is common in all iphones,5,Positive
800,Thanks,5,Positive
801,"Awsome products, now i become also appleholic 👌👌✌️✌️😁😁🤟",5,Positive
802,Highly recommended,5,Positive
803,A beautiful beast!,5,Positive
804,Superb phone,5,Positive
805," This is my 4th iPhone, I feel SE 2020is the thinnest and pocket friendly product",5,Positive
806,Love this product,5,Positive
807,"It has always been a good looking phone in hand, has been a part of one's personality, this phone has a good performance ",4,Positive
808, when you talk about the features and customization it equals to a worthless metal piece,1,Negative
809, It is good to be presented that's it,4,Positive
810,Good Things to mention after 15 days of use:Status iKon,4,Positive
811,DisplayCameraWeightProcessor (Excellent- Same as that of Apple 11 Pro)Safety features of PhoneDouble Sim with one e-sim optionPricePoor Aspects:Phone Battery (only 1800 mAh),5,Positive
812," Yes, this is not a printing mistake",1,Negative
813,!!! You need to charge again in evening once you charge it in morning fully,5,Positive
814,Single Processor: You can have only one call at a time,3,Positive
815, This means if you are talking with someone on One Sim card then your other Sim card ,1,Negative
816,Battery charging time 2,5,Positive
817,15mins and battery just long lasting for 15 hrs for just calls and Fb,2,Negative
818,Battery is very very bad,1,Negative
819,Very small size and very very week battery backup,2,Negative
820,Over all phone is not that much good as u expect,3,Positive
821,Good,4,Positive
822,Nice phone,5,Positive
823,Nice product 😎😎Osm look😍,5,Positive
824,Welcome to the world of no power adapter and those useless earpods,5,Positive
825," Works smooth, must say brilliant and battery is quite decent n much much better backup what i had expected from the reviews",4,Positive
826, Got the products in two days aftr placing the order,5,Positive
827,Original product,5,Positive
828,Nice ,4,Positive
829, litle  more is needed,4,Positive
830,For a Advanced Old School freek,4,Positive
831," Battery backup is quite good as most of working type guy like me frequently use call, whatsapp, email on a daily basis in such case it will last for 11 hrs ",4,Positive
832, Handy for me it's smart & fast ,5,Positive
833, not a phablet like device for me Its 4'7 inch display is called phone ,2,Negative
834, No need for Fast charger as it get full charged with in 2,5,Positive
835,30 hrs just put it after wake up & take it once you are ready ,5,Positive
836,Rest things are mentioned by others for me I just want a smart spee,3,Positive
837,Not buy plz,1,Negative
838,Osame iphone SE,1,Negative
839,good thank you,4,Positive
840,Good i like it,4,Positive
841,Very fast delivery service,4,Positive
842,Specially for them Who are new to the apple e o system,5,Positive
843, Performance and other stuffs all good,5,Positive
844, Camera preety good,4,Positive
845, Battery seems okey if you’re not a game lover,3,Positive
846, Overall Good in this price segment,4,Positive
847, If you can Maintain it properly it easily lasts as it is for next 5-6 years if you chnge this battery after 2,3,Positive
848,5-3 yrs,3,Positive
849,"Keeping it shortBest value for money, capeesh",2,Negative
850, Has its shortcomings battery(will get you 3,3,Positive
851,5 - 5,5,Positive
852,"5 hours of screen on time depending on the usage, gaming is wonderful ",5,Positive
853," due to its small battery capacity it does depletes fast, roughly around 2 - 2",2,Negative
854,"5 hours on screen time) and camera(night mode doesn’t support, although Apple can add it through software on due to its processing power ",3,Positive
855, lack in a second camera don’t let it do so),2,Negative
856, Other then that trust me you will enjoy it and get its money’,5,Positive
857,"The phone is all over amazing best for entering ios ecosystem the screen size is not as small as it may seem , the only problem i faced was battery life it could have been better ",4,Positive
858," the powerful processor does demand a lot of battery , the images are unbeatable even by Android flagships",5,Positive
859,Superb phoneIts Handy and looks good Performance is too good Camera is Also good,5,Positive
860,This is my first iphone,5,Positive
861, and I really thanks to Flipkart because of the product is very very good not any problem,5,Positive
862,I really like iPhone se 128 gb white colour is so good looking,5,Positive
863,"This is my second iPhone and it’s pretty good, the performance is fast and never felt a lag",4,Positive
864," For my day-to-day usage it’s perfect, I have no complaints with the battery",5,Positive
865," The compact size makes it easier to use and for this budget it’s worth to go for unless want to shell out 2x the amount for 12 mini, which is a bit smaller than SE 2nd Generation; has better camera setup; better screen & better battery life",4,Positive
866,"My first iPhonePhone is really good,fast,battery backup is fine nd specially red clr is recommended in se 2020 Clr looks so fresh",5,Positive
867,i love it,5,Positive
868,The best compact phone you can get along with fingerprint scanner,5,Positive
869, The classic iphone design,5,Positive
870, So clean and premium looks,5,Positive
871, I guess the most premium looking classic iphone with a powerful flagship processor ( except the notched iphones X and beyond),4,Positive
872, Go for it ,5,Positive
873, You won't regret if you like small phones,4,Positive
874, Feels great to hold and easy to use with one hand,5,Positive
875," For almost a year and half , i felt like I was carrying a tablet in my pocket when using 6",2,Negative
876,5 inch phone,5,Positive
877,I feel liberated now with a to,5,Positive
878,Amazing phone i really love it and I also love flipkart because they were never upset me from his amazing things and flipkart offer was also amazing thank you,5,Positive
879,I switched to iphone from android its an very good option,5,Positive
880, Ios is just awsome,1,Negative
881, And size of SE is very compact,3,Positive
882, For i feel like screen size is little bit small ,3,Positive
883, after use of 2 days its very nice experience,5,Positive
884, iPhone just nailed it,1,Negative
885,Just bought this phone a week ago,5,Positive
886," Already loving the performance,camera",5,Positive
887,Also my usage is not much (no games)and the battery easily lasts for about 10 to 11 hoursAnyone who loves compact phone you should go for this phone,2,Negative
888,Writing this review post 3 months of usage,1,Negative
889,For normal user and daily tasks battery is decent and will work from morning full to evening,4,Positive
890,"One who is looking for compact phone and moving to iPhone , this is a good choice",4,Positive
891," For high usage people and gaming, not at all recommended because of smaller battery and screen size",3,Positive
892,Not just the best value for money iPhone ,5,Positive
893, the best value for money phone,5,Positive
894, Got it for 30k,5,Positive
895, Best phone if you are a light user,5,Positive
896,I'm loving this beast❤,5,Positive
897, Excellent performance and excellent camera,5,Positive
898, Battery is fine enough,4,Positive
899, One of the best phone in this range,5,Positive
900,I have found stutters while using mobile even if simple web surfing rarely,3,Positive
901,Heats alot while charging and during camera on for 10 to 15minutesBuild and looks are CLASSY,5,Positive
902,Features and automation are SUPER COOL on this mobile,5,Positive
903,"This phone as has both plus and minuses, i luvd this mobile’s luk and pretty happy with it😁",5,Positive
904,Everything seems fine with this phone ,5,Positive
905, this is a super fast car ,5,Positive
906, with a small gas tank the one and only con of this phone ,4,Positive
907, if you are looking to buy this phone you know what you have signed up for ,5,Positive
908, if you want to get a scoop of ios for the first this will be a perfect device to start with as it comes with the one of the best processor at an reasonable price tag my suggestion is that if you can compromise by charging your phone for 2 times a day you can easily go for it,4,Positive
909,Overall the phone is very good ,4,Positive
910, the fact is that it is too small in comparison to phones now these days however the camera is very good and the processor is very powerful you can play any game in the in it,4,Positive
911, You should not consider buying this,1,Negative
912, Only con is that it is screen sizes too small,3,Positive
913,Product is very good and a very good value for money,5,Positive
914, Just loving it the most,5,Positive
915, One of the best phones for this price,5,Positive
916,Worth buying,5,Positive
917, I bought for 37000 that to on installments,5,Positive
918," 4K recording is awesome and camera is excellent, sleek, beautifully designed, battery is being improved a lot",5,Positive
919,"A great package, those want handy phone se2 is perfect for them",5,Positive
920, Used quite brands ,3,Positive
921, the quality of photos and video on iPhone is exactly what we see or click or shoot,5,Positive
922,This phone fells like alto car with SUV engine,1,Negative
923," If you fill it full and go for a ride, it would get empty the moment you start to enjoy the ride",3,Positive
924, Not worth the money,1,Negative
925,Nice,4,Positive
926,Value for Money,5,Positive
927, Performance is Good,4,Positive
928, Camera is Good,4,Positive
929, Easy to Handle,5,Positive
930,"Camera Quality is Superb , Compact Iphone",5,Positive
931,⭐️⭐️⭐️⭐️⭐️,5,Positive
932,"It is quick, powerful and handy",5,Positive
933,Pocket friendly (In terms of both Size and Money :)) The only drawback would be if you are used to larger screen the video and contents appear smaller to you and will see the difference,4,Positive
934,Smart delivery by Flipkart,5,Positive
935,iPhone user since 5 years,5,Positive
936,Performance wise very nice phone and sufficient as per my basic requirement,5,Positive
937,Secured device as compare to Android and compatible and very handy,5,Positive
938,Bit disappoint in terms of battery performance,3,Positive
939,12MP camera is fine for phone purpose,4,Positive
940,This is my first iPhone and I am pretty happy with the device,5,Positive
941, Everything is okay with the phone ,3,Positive
942, it would be much more better if it came with a bigger display and a higher mah battery,3,Positive
943,It cant get any better,2,Negative
944," For people who like compact phones like 6,6s, nd 7 this is the real deal and way cheaper",5,Positive
945," My last phone was iphone 7 for 60k back in 2016 nd this is next generation 7 at just 38,900Just amazing",5,Positive
946, Performance is outstanding,5,Positive
947,"this phone is great,  if someone like small size phone then its great product for him",5,Positive
948,performance is awesome really loved this apple product and also budget phone by apple,5,Positive
949,"Awesome phone the only drawback is its battery life, did not last entire day even with moderate usage",4,Positive
950," Camera is amazing and A13 is awesome, lighting fast phone with decent screensize",5,Positive
951," Not recommended for gamers, professionals and moderate users should go for it",2,Negative
952,"there,s nothing fancy in this phone, it,s simple and i love it",5,Positive
953," if you like compact and doesnt care much about battery, then go for it, A13 bionic chipset is waiting for you",3,Positive
954,"it,s not phone for everyone, ",1,Negative
955," if you regret after buying it, it will show that you haven't researched about the phone",4,Positive
956,"Absolute beast of a phone - compact, portable and with an amazing camera paired to stereo speakers! Battery life is sadly the major drawback of this phone and so not recommended for people who expect higher screen on time",5,Positive
957," I find it suitable for our mothers and fathers who want something portable and easy to use from day one! I also found outdoor brightness of the screen underwhelming, struggling to read outdoors",3,Positive
958, But the phone makes up for its drawbacks for features such as: water and dust r,3,Positive
959,"A perfect blend of nostalgia, perfect size and ergonomics combined with super top of the line specs ",5,Positive
960," with some back dates stuff !Overall, a value for money Apple phone which will last you another 3-4 years, maybe more and will never let you down",4,Positive
961, Battery is a bit on the weaker side ,3,Positive
962," with a 100% charge it will last you a bit more than a full day with normal to regular usage ( including phone calls,video calls, Youtube, OTT platforms, Social Networking sites and Camera",5,Positive
963, )Games play smo,5,Positive
964,Pros:Very good performancePhoto and video taking capabilities in good light is excellentBuild quality Cons:Lower battery capacity than older models such as XrNo lightning to aux convertor in boxLow light photos are very badOther:Though the display specs are not top of the line it does meet the expectations,4,Positive
965, Sound quality is decent and does not disappoint,4,Positive
966,Finally:The phone gives good value for your bucks,5,Positive
967, In my opinion it is a must buy if you want to try an iPhone for  the first ti,5,Positive
968,"Hey guys,This my take on the iphone se",5,Positive
969," I purchased this phone for my mom, basically she needed a compact phone and who would have thought it would be an iphone",4,Positive
970,Yes I do believe price is currently on higher side in india as compared to global market,3,Positive
971, But thanks to exchange and credit card offer I got it for 34k which I believe is a good deal,4,Positive
972,Coming to the pros and consProCompact sizeHandles the apps very well thanks to A13 chipset,5,Positive
973,Display is overall good same as that one iphone 7,4,Positive
974,In t,5,Positive
975,Phone is good if ypu wish t ahift drom android and want a decent camera in your pocket,3,Positive
976, Defenetly not for gamers because processor Bionic A13 can take nay game with full graphics no prob ,1,Negative
977, battery will disappoint you,3,Positive
978, Not for long video calls rest things are fine premium feel full display could have been better,3,Positive
979, If battery and display is also important ro you consider XR or 11,3,Positive
980,Package is well packed ,5,Positive
981, Got this phone in first sale itself and it's been 3 weeks ,5,Positive
982, Performance is snappy and camera is pretty good,3,Positive
983," The only con is Battery life which barely lasts full day with moderate to heavy usage, ",3,Positive
984, it is expected because of it's compact and light weight design,3,Positive
985, Other than that phone is good and price should be at least 10k cheaper then only price to performance ratio can be justified,3,Positive
986,I love this product and thanks to flipkart for a quick delivery that I didn’t expect that I got it before the delivery date that mention in the order list and i thank you to the delivery man that he took patience to wait till I paid the bill for this order,5,Positive
987, Once again thank you so much,5,Positive
988,iPhone SE here in 2020 boom it’s powerful device low budget iPhone ever don’t go on price phone is packed with performance running on A13 Chip which makes apps run ,1,Negative
989,ter smooth camera is good borrowed from IPhone 11 battery is smaller bcoz of the size of phone ,4,Positive
990, does your job speaker is quite loud every phone has pros and cons so we have to deal with it overall it’s good phone under budget go for it all three colour are amazing I have bought white,4,Positive
991,"PHONE stopped working as it was draining battery due to network issue, it looses signal frequently",1,Negative
992, Phone dead after 1 yr 6 months,1,Negative
993,"The phone works just fine! Despite the negativity around the battery life (which is true, only if you want to want to play games)",4,Positive
994,"Camera is nice, display with True Tone feels just right and the performance is spectacular! After 3 years with Android (Google Pixel 2 XL) it was time to head back to iOS",5,Positive
995," Nothing against Android, that was a brilliant phone too, ",5,Positive
996, too big for me,2,Negative
997, (Personal choice),5,Positive
998, I don’t play games or watch movies/videos for prolonged duration,1,Negative
999, So a big screen just felt like ,3,Positive
1000,Performance is awesome with A13 bionic chipThose who capture a lot of pics it’s a very good choice fir them,5,Positive
1001, single camera ,4,Positive
1002, picture quality is giant,3,Positive
1003,Battery performance is little bit of weak,3,Positive
1004, doesn’t looks good,1,Negative
1005, for normal use it’s ok,3,Positive
1006, ,4,Positive
1007, those who are heavy user for them doesn’t look good,2,Negative
1008,Very handy phone with a premium look,5,Positive
1009, ,4,Positive
1010, the bazzels one the screen looks old,1,Negative
1011, ,4,Positive
1012, overall it’s good to buy within this price range,4,Positive
1013,This phone is meant for niche market,3,Positive
1014, Not for people who like screen size more than 5,2,Negative
1015,5 or 6 inch,3,Positive
1016, Was waiting for a product like this since long and now will experience this with the latest A13 bionic chip,5,Positive
1017, Great buy for people who require smaller handy phones,5,Positive
1018, Not for gaming purpose of course,2,Negative
1019, You can buy a play station instead 😉,1,Negative
1020, Regards,5,Positive
1021,Super compact fone for no nonsense users!!! Good speaker quality & super fast due to A13 buonic chip,5,Positive
1022,I just love this phone,5,Positive
1023," This is my first iPhone and it is handy, fast and beautiful",5,Positive
1024, This is great power in small package,5,Positive
1025, It is working absolutely great,5,Positive
1026,This iphone totally worth it,5,Positive
1027, I call it a Mini iphone 11,5,Positive
1028, I suggest this to those who are 1,5,Positive
1029, looking to buy apple product for the first time,5,Positive
1030, Looking for a phone that is compact ,4,Positive
1031, with full features of flagship,5,Positive
1032, Although it is good for gaming ,3,Positive
1033, I will not recommend you to consider it for gaming,2,Negative
1034,Only concern:- battery capacity is not that great ,3,Positive
1035, if you do moderate use with social media and bit of youtube streaming,3,Positive
1036,It lasts for a day,3,Positive
1037, 11-12 hours outside,1,Negative
1038,Bought and used this device for 24 hours,5,Positive
1039, This is pretty good bargain for People who do phone calls and watch few videos,4,Positive
1040, Battery holds good for a day if you don’t push it,4,Positive
1041, Don’t fall for the battery drain and charge testing videos,1,Negative
1042, Use a Samsung charger,5,Positive
1043, It charges fast while not heating the phone,2,Negative
1044,Camera is awesome and you don’t have to be a pro to click some brilliant pictures and videos,5,Positive
1045, You want an iPhone then go for it,5,Positive
1046,The Apple IPhone SE has been an all time favorite for the family members due to its size and quality,5,Positive
1047, I have been using the old model of SE from 2014 and now changed to 2020 SE model due to its quality and reliability,5,Positive
1048, The phone is very much handy for small size hands and also have bigger screen than earlier version,5,Positive
1049, The sound quality is improved by it's stereo speakers,4,Positive
1050, The quality of camera is also enhanced for great pictures for life time experience,5,Positive
1051, It came in different colors with sleek ,3,Positive
1052,"Just an amazing phone, the interface is great there is no lag, the battery backup is also decent, and the camera quality is amazing the phone feels really premium and high quality, best choice go for it",5,Positive
1053, Try buying the one with the charger and the earpods to save money,1,Negative
1054,Honest Review after using for around 3 months and still using it as primary mobile,4,Positive
1055,Pros,5,Positive
1056, Amazing CameraSpeaker is just too good,5,Positive
1057,The fluidic interface of apple which feels so smooth while using it,5,Positive
1058,The earphones given along with mobile phone in-box is just superb,5,Positive
1059, Cons,5,Positive
1060, Screen size is bit small,3,Positive
1061, You get used to it with time ,4,Positive
1062, when it feels awkward when you suddenly switch from some big screen phone to this,3,Positive
1063, Battery life is not too great,3,Positive
1064," Although with normal usage, my phone lasts ",3,Positive
1065,"After using for a week, this phone is working really upto expectation",4,Positive
1066, Bought in 33K for 128gb variant along with charger and earpods,5,Positive
1067," If you want a powerful chip along with large storage space and also a touch of apple, then this is the phone",5,Positive
1068, PS: Black looks amazing and classy when comes to Iphone,5,Positive
1069,"I bought this mobile as a replacement for my mother's age old iphone 5S, as she was stuck with IOS & single home ",5,Positive
1070,ton,5,Positive
1071, I'm really surprised with its great performance and features,5,Positive
1072, Felt like buying it for myself too,3,Positive
