Review Title,Review Text
Really Nice,"Marking the return of the phone with great performance in a small form factor, this one does make it easy to love it.A well priced proposition with bang for the buck performance and the iOS level of confidence.The battery is only average but that can also be improved if you are a little more aware, than the commonwealth, of the system software customisations.All in all a good phone with a great performance and a decent battery life."
Must buy!,"A device that will last for atleast 5 years with the latest softwares at your disposal. A camera you can always trust about its consistency. Very compact . Battery is good, no matter what people say, if you are not gaming or not shooting videos for hours and hours, battery is solid with exceptional standby. Last but not the least, Flipkart was amazing with its services. At every stage. Thank you"
Fabulous!,"This phone is superb !!! At this budget it is very valuable. The camera,battery,display and sound everything is 100% for this budget. I am very happy with this phone. I have used it 2 months and I haven’t face any problem. I love it!!!"
Must buy!,"The iPhone se was good but battery could not survive a day, if u r a Android user then I would suggest Mi11x and if u want to try iPhone then u can, but battery life is very important and also have to buy a fast charger seperately can't count the flaws of this device as it is the cheapest iPhone"
Classy product,"The best budget iPhone you can get. The camera: great for daylight images, only downside I would say is the lack of night sight, but yeah it does the task. Performance: I will certainly be joking if I said I was experiencing issues with the phone’s performance. It’s A13 for god’s sake. The best processor in the market right now and I feel this is the reason most of us are buying. This phone is gonna last you more than any android in the same price segment will ever do. And that includes One..."
Terrific,The phone is working awesome high speed the only demerit is size if you are okay with the size then you can buy the phone without even reading anything amazing built quality thankyou apple and flipkart the battery is awesome and everything is fine with the phone no problem faced till now
Good quality product,"iOS is always great for it's fluid and great performance, this phone is no different from that as A13 chip took it to next level.Cons: Battery could have been better due to increasing dependency on mobiles and apps in this digitized world."
Terrific,"If you don't know the benefits of the Apple ecosystem, this is the phone to introduce you to it and if you use it properly, you will never go backIt's (comparatively) reasonably priced. In fact given it's processor which is the same as one in iPhone Pro which costs more than a lakh plus Apples' updates thay go on for 5-6 years, it's probably better value than most ""cheaper"" phones out there.The camera is great and Touch ID in this age of mask wearing is perfect. Cons - battery isn't as ..."
Worth the money,"First iPhone as per my budget, thanks to Flipkart for providing it in a discount price. Purchased it for the strong privacy features of an iOS.Reviewing after 5 days of use,Battery: Need to use very sincerely or use 20w adapter for 100% charge in 1 hour.Camera: GoodPerformance: Very good, 1 app to another app opening performance very smooth.Size: awesome, It's very handy to use by one palm and fingers only.Keyboard: After using 6inch Android smartphone its takes time to input the da..."
Classy product,This is truly fab phone .it is very handy 😀 Camera is superb  sound is great. Smooth performance. Se 2020 is my first iPhone  I really love this phone .
Value-for-money,"This is one of the best mobile. Since I’m using this phone from last 24 hours and I personally feel that it’s a complete packet. It contains everything, yes its display is bit smaller but you don’t feel if you are comfortable with small phones. The A13 chip set is playing its best role. I personally feel that it’s good for normal person. Not for heavy gamers."
Worth the money,"After one month of use  finding it very nice and good product.exploring new features of ios 14 every day.the photos and selfies are awesome even with a single camera. In short any anyone who wishes to have a  power packed, sturdy ,reliable and "" Virus free"" long lasting  phone. Iphone SE 2020 is a better alternative ."
Super!,"If battery will be ok, the entireIndia will buy this se 2020. All other brand will be failled in India and other parts of world.As a senior citizen I feel it is easy to handle, waitless andI proud to have a super engine."
Perfect product!,"This is very great edition in iphone series, and very gud phone specially for whom who want to change from Andriod to iOS and this is my first iOS phone and i am very very to buy this product. It's really very very appreciable work done to Apple.I am very happy to this product &this is my observation that this product is called value of money.."
Excellent Specs Let Down/Throttled Only By Battery Life!,"I have been using the SE for a good 12-13 days now, have tried gaming but i won't recommend buying this phone for power and gaming as that would drain the battery faster. The primary reason i went with the SE is the form factor and smaller screen, I wanted to cut down on my digital consumption and this has helped me do that.Pros:Super FastTaptic Engine is amazingVery Decent CameraGreat Build qualityEntry into Ios ecosystemSolid 5 years SupportCons:No night modeAverage batteryFor..."
Fabulous!,I ordered the Red colored iPhone SE on 2-Jun. Flipkart gave date of delivery on 7-Jun but due to lockdown it got delayed by 3 days and I received on 10-Jun. Good effort by Flipkart during such challenging times.The looks and feel of the phone is a class apart compared to other Android phones I have used in the past. The colour is awesome and hard to take your eyes off. The Product RED written at the back adds to its esthetic.It is easier on the grip being smaller and even with a back cove...
Classy product,Very cute phone and performance upto the standards of an Apple product. Great value for money but may not be liked by those who watch videos and do gaming with current day larger display phones. A great product all in all.
Delightful,Battery sucks. It lasted 100% for 2 months then 99-96 in just one monthOther things are greatGreat camera great processor great screen and handy phone But there is not that much battery to enjoy it’s features
Simply awesome,"Best budget iphone you could buy, i really recommend to those who are Android users and doesn't want to spend much but still want to experience Iphone. Go for it. yeah people will say its battery is bad. If you are using it for long it definitly will not last long. But if you use it as secondary phone its a good chooice."
Perfect product!,"I find it best phone in this size and price category. Display, camera, speed all is good, battery life may not look good if you are an extensive user of phone. On an average 2-3 hours of daily screen time, battery lasts for 2 days in one full charge, which is good enough for me. This size of phone gives comfortable feeling n grip in hand so i find it best."
Excellent,"Shooting in 4K is like very cinematic. I get a screen time of 6 hours. I use Instagram, some trading apps and switching on hotspot gives a decent battery. Just go for it if you want to buy. Add on 20W charger to your cart. It charges 50% in 30 min.. Super cool to use this little monster.."
Brilliant,"I bought the phone on the sale at the best price. This phone is really a flagship phone it has all good features of all the earlier models iPhone 6,7 & 8. Pros1. The phone size is 4.7” which is very good, better than the other mammoth.2. Battery backup is adequate one can get a days backup easily with average usage.3. Cameras quality is unmatched with any androids available in the maker.4. Memory and RAM are the best in iPhone one does not need to be bothered about it. It’s perfectly m..."
Great product,"Nice phone with great camera, loved it. Everything is perfect just the battery is not as good as expected."
Must buy!,Its for only who loves small screen and with a performance beast.. i love it and its awesome..RATINGS CAMERA - 5/5Performance - 5/5Battery - 5/3.5Design -5/4I love small display phones .. i love it its like...MINI MONSTER IN MY POCKET ...
Wonderful,I did not find any issues with battery  Good battery backup Performance is outstanding Internet connectivity is outstanding I m fully satisfied People saying about battery but i did not find any with battery Battery giving me a full day backupI am not gamer not a heavy user For me it is a beast
Good choice,"If you want small size iphone like iphone 7 or 8 then it will best option for you, every thing you through on it just run very smoothly"
Good quality product,genuine product.
Mind-blowing purchase,"If you are looking for a compact phone without compromising on performance and a fluid ux design, then you are going to love it. If you are also switching to Apple ecosystem from Android and want to go easy on your pocket, then this is one of the best choice.Having said that you might miss dual sim slot, it comes with just one. No 3.5 mm Jack for your headphones, but then you don’t get it with any Apple products these days. Camera department could’ve done better in low light photography. Ov..."
Pretty good,"Great phone. Tough to find such compact phones in the android world. If only Apple had given a charger and earphones, it'd have been awesome. Battery life is fine but not that great. Rest everything is 10 on 10"
Does the job,Only good not best
Pretty good,Okey
Classy product,Quality of apple feels in hand properly distinct from other smartphones . Also very fast Hats off to A13 Bionic .
Really Nice,"Got this within 24 hours, thanks flipkart.Product red is awesome and shiny.Pros :1) Easy handling and 2) Easy data migration from Android to IOS using move to its app3) performance  is top notch with A13 bionic chips etc similar to iPhone 11. 4) Display is awesome5) awesome phone for 29kCons1) No power adaptor or headphones you have to buy it separately.  Adaptor alone is close to 2k"
Awesome,Amazing phone with an awesome offer
Worthless,Not given charger
Worth every penny,This phone is a jewel phone. It’s kind of feels premium to me.
Terrible product,"Battery strength is very bad... Hardly its working 12hrs after 100% charged, with very basic uses of phone.thinking to return it."
Expected a better product,Gets too hot when charging
Perfect product!,It’s really good for those who are using first apple phone
Did not meet expectations,Very bad shopping experience with Flipkart
Just okay,"During app calls, especially through WhatsApp,  for 1hour22mins it goes down from 100% to 58% literally.I've turned off the following 1)background internet usage of app, 2)auto brightness is off, 3)screen time is off, 4)auto lock set in 30 seconds,5)No gaming at all, not a single time, after all this that is what I've got as a result.If you don't touch the phone after 100%, it stays at 98% after 24hours.This is where it sucks alot, aka battery, all good features against this dropback..."
Highly recommended,"Fantastic mobile as it is Apple. Bought it in inr 32000 only, a steal deal in BBD. Don't think go for it. Superb speed, display, look, sleek design."
Mind-blowing purchase,amazing phone
Decent product,Proximity sensors not working
Brilliant,This is a small beast.....
Really Nice,Niceeee
Excellent,It's a awesome set camera quality is also good . Battery survive almost a day with all day active in office
Terrific purchase,Just go for it! You will never regret after purchasing it.
Mind-blowing purchase,Superb
Great product,Superb phone... Display is good... Metallic finish.... Camera is also nice. Only thing is battery is not so good. This is common in all iphones...
Excellent,Thanks
Brilliant,"Awsome products, now i become also appleholic 👌👌✌️✌️😁😁🤟"
Excellent,Highly recommended
Terrific purchase,A beautiful beast!
Classy product,"Superb phone. This is my 4th iPhone, I feel SE 2020is the thinnest and pocket friendly product."
Pretty good,Love this product
Just okay,"It has always been a good looking phone in hand, has been a part of one's personality, this phone has a good performance but when you talk about the features and customization it equals to a worthless metal piece.. It is good to be presented that's it."
"Decent product! Budget Buy, Finally Apple Brand New Phone","Good Things to mention after 15 days of use:Status iKon.DisplayCameraWeightProcessor (Excellent- Same as that of Apple 11 Pro)Safety features of PhoneDouble Sim with one e-sim optionPricePoor Aspects:Phone Battery (only 1800 mAh). Yes, this is not a printing mistake...!!! You need to charge again in evening once you charge it in morning fully.Single Processor: You can have only one call at a time. This means if you are talking with someone on One Sim card then your other Sim card ..."
Unsatisfactory,Battery charging time 2.15mins and battery just long lasting for 15 hrs for just calls and Fb..Battery is very very bad
Simply awesome,Very small size and very very week battery backup.Over all phone is not that much good as u expect.
Wonderful,Good
Terrific,Nice phone
Just wow!,Nice product 😎😎Osm look😍
Worth the money,"Welcome to the world of no power adapter and those useless earpods. Works smooth, must say brilliant and battery is quite decent n much much better backup what i had expected from the reviews. Got the products in two days aftr placing the order."
Fabulous!,Original product
Highly recommended,Nice but litle  more is needed
Perfect product!,"For a Advanced Old School freek.1. Battery backup is quite good as most of working type guy like me frequently use call, whatsapp, email on a daily basis in such case it will last for 11 hrs .2. Handy for me it's smart & fast but not a phablet like device for me Its 4'7 inch display is called phone .3. No need for Fast charger as it get full charged with in 2.30 hrs just put it after wake up & take it once you are ready .Rest things are mentioned by others for me I just want a smart spee..."
Absolute rubbish!,Not buy plz
Just wow!,Osame iphone SE
Wonderful,good thank you
Fabulous!,Good i like it
Perfect product!,Very fast delivery service
Fabulous!,Specially for them Who are new to the apple e o system.. Performance and other stuffs all good.. Camera preety good.. Battery seems okey if you’re not a game lover.. Overall Good in this price segment.. If you can Maintain it properly it easily lasts as it is for next 5-6 years if you chnge this battery after 2.5-3 yrs..
Just wow!,"Keeping it shortBest value for money, capeesh. Has its shortcomings battery(will get you 3.5 - 5.5 hours of screen on time depending on the usage, gaming is wonderful but due to its small battery capacity it does depletes fast, roughly around 2 - 2.5 hours on screen time) and camera(night mode doesn’t support, although Apple can add it through software on due to its processing power but lack in a second camera don’t let it do so). Other then that trust me you will enjoy it and get its money’..."
Perfect product!,"The phone is all over amazing best for entering ios ecosystem the screen size is not as small as it may seem , the only problem i faced was battery life it could have been better but the powerful processor does demand a lot of battery , the images are unbeatable even by Android flagships"
Classy product,Superb phoneIts Handy and looks good Performance is too good Camera is Also good
Worth every penny,This is my first iphone.. and I really thanks to Flipkart because of the product is very very good not any problem..I really like iPhone se 128 gb white colour is so good looking
Perfect product!,"This is my second iPhone and it’s pretty good, the performance is fast and never felt a lag. For my day-to-day usage it’s perfect, I have no complaints with the battery. The compact size makes it easier to use and for this budget it’s worth to go for unless want to shell out 2x the amount for 12 mini, which is a bit smaller than SE 2nd Generation; has better camera setup; better screen & better battery life."
Terrific purchase,"My first iPhonePhone is really good,fast,battery backup is fine nd specially red clr is recommended in se 2020 Clr looks so fresh.i love it"
Nice product,"The best compact phone you can get along with fingerprint scanner.. The classic iphone design.. So clean and premium looks.. I guess the most premium looking classic iphone with a powerful flagship processor ( except the notched iphones X and beyond).. Go for it . You won't regret if you like small phones.. Feels great to hold and easy to use with one hand... For almost a year and half , i felt like I was carrying a tablet in my pocket when using 6.5 inch phone..I feel liberated now with a to..."
Excellent,Amazing phone i really love it and I also love flipkart because they were never upset me from his amazing things and flipkart offer was also amazing thank you
Terrific,I switched to iphone from android its an very good option. Ios is just awsome. And size of SE is very compact. For i feel like screen size is little bit small but after use of 2 days its very nice experience. iPhone just nailed it.
Mind-blowing purchase,"Just bought this phone a week ago. Already loving the performance,camera.Also my usage is not much (no games)and the battery easily lasts for about 10 to 11 hoursAnyone who loves compact phone you should go for this phone"
Terrific purchase,"Writing this review post 3 months of usage.For normal user and daily tasks battery is decent and will work from morning full to evening.One who is looking for compact phone and moving to iPhone , this is a good choice. For high usage people and gaming, not at all recommended because of smaller battery and screen size."
Perfect product!,Not just the best value for money iPhone but the best value for money phone. Got it for 30k. Best phone if you are a light user.
Awesome,I'm loving this beast❤. Excellent performance and excellent camera. Battery is fine enough. One of the best phone in this range.
Does the job,"I have found stutters while using mobile even if simple web surfing rarely.Heats alot while charging and during camera on for 10 to 15minutesBuild and looks are CLASSY.Features and automation are SUPER COOL on this mobile.This phone as has both plus and minuses, i luvd this mobile’s luk and pretty happy with it😁"
Wonderful,Everything seems fine with this phone but this is a super fast car but with a small gas tank the one and only con of this phone but if you are looking to buy this phone you know what you have signed up for but if you want to get a scoop of ios for the first this will be a perfect device to start with as it comes with the one of the best processor at an reasonable price tag my suggestion is that if you can compromise by charging your phone for 2 times a day you can easily go for it
Very Good,Overall the phone is very good but the fact is that it is too small in comparison to phones now these days however the camera is very good and the processor is very powerful you can play any game in the in it. You should not consider buying this. Only con is that it is screen sizes too small.
Really Nice,Product is very good and a very good value for money. Just loving it the most. One of the best phones for this price.
Excellent,"Worth buying. I bought for 37000 that to on installments. 4K recording is awesome and camera is excellent, sleek, beautifully designed, battery is being improved a lot.A great package, those want handy phone se2 is perfect for them. Used quite brands but the quality of photos and video on iPhone is exactly what we see or click or shoot."
Does the job,"This phone fells like alto car with SUV engine. If you fill it full and go for a ride, it would get empty the moment you start to enjoy the ride. Not worth the money."
Very Good,Nice
Terrific,Value for Money.1. Performance is Good.2. Camera is Good.3. Easy to Handle.
Brilliant,"Camera Quality is Superb , Compact Iphone.⭐️⭐️⭐️⭐️⭐️"
Quick Powerful and Handy,"It is quick, powerful and handy.Pocket friendly (In terms of both Size and Money :)) The only drawback would be if you are used to larger screen the video and contents appear smaller to you and will see the difference.Smart delivery by Flipkart"
Wonderful,iPhone user since 5 years.Performance wise very nice phone and sufficient as per my basic requirement.Secured device as compare to Android and compatible and very handy.Bit disappoint in terms of battery performance.12MP camera is fine for phone purpose.
Great product,This is my first iPhone and I am pretty happy with the device. Everything is okay with the phone but it would be much more better if it came with a bigger display and a higher mah battery
Highly recommended,"It cant get any better. For people who like compact phones like 6,6s, nd 7 this is the real deal and way cheaper. My last phone was iphone 7 for 60k back in 2016 nd this is next generation 7 at just 38,900Just amazing.. Performance is outstanding.."
Perfect product!,"this phone is great,  if someone like small size phone then its great product for him.performance is awesome really loved this apple product and also budget phone by apple."
Very Good,"Awesome phone the only drawback is its battery life, did not last entire day even with moderate usage. Camera is amazing and A13 is awesome, lighting fast phone with decent screensize. Not recommended for gamers, professionals and moderate users should go for it."
Excellent,"there,s nothing fancy in this phone, it,s simple and i love it... if you like compact and doesnt care much about battery, then go for it, A13 bionic chipset is waiting for you.it,s not phone for everyone, but if you regret after buying it, it will show that you haven't researched about the phone.."
Wonderful,"Absolute beast of a phone - compact, portable and with an amazing camera paired to stereo speakers! Battery life is sadly the major drawback of this phone and so not recommended for people who expect higher screen on time. I find it suitable for our mothers and fathers who want something portable and easy to use from day one! I also found outdoor brightness of the screen underwhelming, struggling to read outdoors. But the phone makes up for its drawbacks for features such as: water and dust r..."
A Super Affordable Smart Phone !!,"A perfect blend of nostalgia, perfect size and ergonomics combined with super top of the line specs but with some back dates stuff !Overall, a value for money Apple phone which will last you another 3-4 years, maybe more and will never let you down. Battery is a bit on the weaker side but with a 100% charge it will last you a bit more than a full day with normal to regular usage ( including phone calls,video calls, Youtube, OTT platforms, Social Networking sites and Camera. )Games play smo..."
Worth every penny,Pros:Very good performancePhoto and video taking capabilities in good light is excellentBuild quality Cons:Lower battery capacity than older models such as XrNo lightning to aux convertor in boxLow light photos are very badOther:Though the display specs are not top of the line it does meet the expectations. Sound quality is decent and does not disappoint.Finally:The phone gives good value for your bucks. In my opinion it is a must buy if you want to try an iPhone for  the first ti...
Highly recommended,"Hey guys,This my take on the iphone se. I purchased this phone for my mom, basically she needed a compact phone and who would have thought it would be an iphone.Yes I do believe price is currently on higher side in india as compared to global market. But thanks to exchange and credit card offer I got it for 34k which I believe is a good deal.Coming to the pros and consProCompact sizeHandles the apps very well thanks to A13 chipset.Display is overall good same as that one iphone 7.In t..."
Pretty good,Phone is good if ypu wish t ahift drom android and want a decent camera in your pocket. Defenetly not for gamers because processor Bionic A13 can take nay game with full graphics no prob but battery will disappoint you. Not for long video calls rest things are fine premium feel full display could have been better. If battery and display is also important ro you consider XR or 11.
Delightful,"Package is well packed . Got this phone in first sale itself and it's been 3 weeks . Performance is snappy and camera is pretty good. The only con is Battery life which barely lasts full day with moderate to heavy usage, but it is expected because of it's compact and light weight design. Other than that phone is good and price should be at least 10k cheaper then only price to performance ratio can be justified"
Terrific purchase,I love this product and thanks to flipkart for a quick delivery that I didn’t expect that I got it before the delivery date that mention in the order list and i thank you to the delivery man that he took patience to wait till I paid the bill for this order. Once again thank you so much.
Good quality product,iPhone SE here in 2020 boom it’s powerful device low budget iPhone ever don’t go on price phone is packed with performance running on A13 Chip which makes apps run butter smooth camera is good borrowed from IPhone 11 battery is smaller bcoz of the size of phone but does your job speaker is quite loud every phone has pros and cons so we have to deal with it overall it’s good phone under budget go for it all three colour are amazing I have bought white
Slightly disappointed,"PHONE stopped working as it was draining battery due to network issue, it looses signal frequently. Phone dead after 1 yr 6 months"
Pretty good,"The phone works just fine! Despite the negativity around the battery life (which is true, only if you want to want to play games).Camera is nice, display with True Tone feels just right and the performance is spectacular! After 3 years with Android (Google Pixel 2 XL) it was time to head back to iOS. Nothing against Android, that was a brilliant phone too, but too big for me. (Personal choice). I don’t play games or watch movies/videos for prolonged duration. So a big screen just felt like ..."
Terrific,Performance is awesome with A13 bionic chipThose who capture a lot of pics it’s a very good choice fir them... single camera but picture quality is giant....Battery performance is little bit of weak.. doesn’t looks good.. for normal use it’s ok.. but those who are heavy user for them doesn’t look good....Very handy phone with a premium look... but the bazzels one the screen looks old.. but overall it’s good to buy within this price range
Value-for-money,This phone is meant for niche market. Not for people who like screen size more than 5.5 or 6 inch. Was waiting for a product like this since long and now will experience this with the latest A13 bionic chip. Great buy for people who require smaller handy phones. Not for gaming purpose of course. You can buy a play station instead 😉. Regards
Worth every penny,Super compact fone for no nonsense users!!! Good speaker quality & super fast due to A13 buonic chip.
Mind-blowing purchase,"I just love this phone. This is my first iPhone and it is handy, fast and beautiful. This is great power in small package. It is working absolutely great."
Perfect product!,This iphone totally worth it. I call it a Mini iphone 11. I suggest this to those who are 1. looking to buy apple product for the first time. 2. Looking for a phone that is compact but with full features of flagship. 3. Although it is good for gaming but I will not recommend you to consider it for gaming.Only concern:- battery capacity is not that great but if you do moderate use with social media and bit of youtube streaming.It lasts for a day. 11-12 hours outside.
Awesome,Bought and used this device for 24 hours. This is pretty good bargain for People who do phone calls and watch few videos. Battery holds good for a day if you don’t push it. Don’t fall for the battery drain and charge testing videos. Use a Samsung charger. It charges fast while not heating the phone.Camera is awesome and you don’t have to be a pro to click some brilliant pictures and videos. You want an iPhone then go for it.
Mind-blowing purchase,The Apple IPhone SE has been an all time favorite for the family members due to its size and quality. I have been using the old model of SE from 2014 and now changed to 2020 SE model due to its quality and reliability. The phone is very much handy for small size hands and also have bigger screen than earlier version. The sound quality is improved by it's stereo speakers. The quality of camera is also enhanced for great pictures for life time experience. It came in different colors with sleek ...
Must buy!,"Just an amazing phone, the interface is great there is no lag, the battery backup is also decent, and the camera quality is amazing the phone feels really premium and high quality, best choice go for it. Try buying the one with the charger and the earpods to save money"
Classy product,"Honest Review after using for around 3 months and still using it as primary mobile.Pros. Amazing CameraSpeaker is just too good.The fluidic interface of apple which feels so smooth while using it.The earphones given along with mobile phone in-box is just superb. Cons.1. Screen size is bit small. You get used to it with time but when it feels awkward when you suddenly switch from some big screen phone to this.2. Battery life is not too great. Although with normal usage, my phone lasts ..."
Simply awesome,"After using for a week, this phone is working really upto expectation. Bought in 33K for 128gb variant along with charger and earpods. If you want a powerful chip along with large storage space and also a touch of apple, then this is the phone. PS: Black looks amazing and classy when comes to Iphone"
Wonderful,"I bought this mobile as a replacement for my mother's age old iphone 5S, as she was stuck with IOS & single home button. I'm really surprised with its great performance and features. Felt like buying it for myself too. But its battery is not so great for working people. To sum it up, very good mobile for this price bracket."
Nice product,"Battery backup is good, using it for last 2 weeks and it works for 24 hours for me in moderate usage. Camera is better than most of high end Android phones. I dint like notch display thus went for this one and I like the phone more than IPhone X and 11.I don’t like heavy and big size so it fits my need and performance is top notch."
Brilliant,"It’s everything i expected it to be. In a market where thick heavy and monster sized smartphones are ubiquitous, this is a life saver for people like me who just want a thin and light smartphone that’s also easy to hold with one hand without compromising on performance. I have a gripe with modern mid range phones that are packed with 4 cameras but still take awful photos. This phone takes good photos with the limited range of its single camera, and I much prefer this. As for the battery, it’s..."
Worth every penny,It's pretty good but battery decrease too fast nd a good product
Terrific,I purchased this iPhone for my dad because of his requirements of small sized phone with decent performance and capable camera. This is the ideal phone for these requirements. He is pretty satisfied with the phone. My only complaint is  5 W Charger. After all it's cost over 40k.
Excellent,First off all what a fantastic delivery  flipkart made. I ordered the phone on 9th July 5:20 PM. Received the the phone on 10th July 9 Am.Now coming to the phone. Its already been reviewed by many tech reviewer nothing more to say.Performance is great. Battery part is ok. As u have to compare the battery with iPhone 7 and 8. Not with XR or iPhone 11.One thing I did not like was there were no first charger only 5 volt charger is packed.Other then that it's a great purchase.If it's your fi...
Super!,"My first ever Apple product.It's small, snappy, has Touch Id (Apple pioneered in it).I am astonished as to how such a small phone can outstand every other phone.Reasons to buy:1. Camera (Don't get fooled coz of one lens)2. Performance (A13 bionic chip)3. Screen (Small and reachable by single hand)4. Power packed features (4K-60fps, water resistant, A13 chip, more secure touch ID, wireless charging, quick charging)5. PriceCons:1. Outdated look.2. Battery is very small although it la..."
Mind-blowing purchase,Fantastic product super fast speed no lags like android phones no advertisements fabulous response to touch good battery life there is this wrong saying that battery life is not good
Great product,"This is more of my legal first iPhone. Been using borrowed ones or sticking with android this whole time. Coming from the world of android, my first word to describe iOS is “cool”. Bye bye heat issues from android phones. Believe me I tested this phone to enormous stress but still there’s no heat issues. My old Samsung note 8 didn’t boil that much but my one plus did. And bye bye blotwares. Regarding this phone, chick to carry. Enough screen space to read e-books, see movies.But adding m..."
Wonderful,I have using iPhone XR except of the screen size Every thing is great about this phone se 2020 Speak about battery it’s far better compare to iPhone 8 The new processor is helping a lot  and fast enough Small in size
Wonderful,"This is my first apple phone, previously I was using OnePlus 3T.Upgrading from android to IOS was a tough decision since I was getting the latest oneplus 8 in the same price range with offers.However I stuck with my decision of upgrading to IOS since I have found that IOS technology is better than android phones.Only CON with Apple is the battery. The battery runs out pretty fast. Well that is something I miss, nothing else.Great phone, slim and very fast. cheers!!"
Highly recommended,I would like to say only one thing iPhone rocks. The stereo sound quality is just at par with other phones in this range. Connect to your external HPs or soundbars and your are ready to rock and roll. Deep bass level are so clear u would fall in love with this. I really don’t mind bulky bezels because that is what makes this handy and your very own and personal phone. It’s a powerful beast in a small size. :)
Excellent,Tremendous purchase and awesome device . First of all it’s as per the latest lifestyle like 2 sim option and in a pocket size at such a great price. I am very happy and satisfied.
Excellent,"One of the best thing about this phone is its Apple A13 Bionic processor speed. You can buy a phone with 20000/- of another brand with high RAM capacity but no one focuses on processor benchmark number. Lightning speed in a small pack of phone is very satisfying and really good for working people who want to make a fast call, want to check WhatsApp quickly etc. The camera is also very good for the given specs and takes video with 4K resolution. I highly recommend this phone for people who a..."
Fair,"Ahhh where to start.!!, yes simple and daily usage mobile, one day battery life for normal usage. Great performance with A13 Bionic chip. Apple selling this mobile without technology, there is no great things to do, iPhone 8 with latest processor, if you can afford go for iPhone XR or iPhone 11, else go for one plus 8 series."
Perfect product!,"This is the best phone you can buy in this price. With this #banchinaproducts moment, this is the best option.I know this product is assembled in china but its a American product so I am satisfied. Its a breakthrough of great performance and minimalist design."
Just wow!,"I have been using the iPhone se 2020 for close to a week now and I am super happy with the experience. As you might have seen in multiple reviews of the device, the battery life is a setback. But the battery easily lasts for a day with a good amount of gaming and video streaming and that works for a user like me."
Great product,It’s a great IPhone. Those who are using 6 and 6s should definitely upgrade. But those who are using 7 and above should not as 7 is still a fast phone and it will get atleast one more year of update. Coming to iPhone se it’s a great phone. Camera is great. Features are great. Battery is issue. It won’t last you whole day if your a heavy user. Expect 5 hours of screen time of your heavy user. Otherwise overall good value for money.
Very Good,"se Apple is good phone , quick delivery, good camera, handy, easily useable but without gst reverse bill . ipurchased this phone for my company but flipkart not give me gst reverse bill"
Love it,"Excellent phone. For budget-minded users, this SE version is about half the price of the iPhone 11 and is easily comparable in its operations, even using the latest A13 processor which is new in the 11. All said this is a great phone, very well worth the money, and a great deal from Flipkart...Kudos!!!"
Super!,"The best phone after 5S. People who are into only basic features they must go for this phone. Value for money. Compact, handy and the best budget iPhone ever."
Worth the money,"I used windows phone, android phone (Lenovo and Moto) and now this. I am not impressed more than my previous phone Moto X4 to this. Be it charging, ease of using. I got used to Moto actions so much that I unintentionally do the same operation here and then realise that I am no longer using Moto.Since it is still a week when I started using iPhone would like to wait for a month to see to find the ease of use."
Very Good,"I eat Android every morning but shifted to iphone to experience the ios for the first time.About the phone build and finishing is just awesome. Red is beautiful ❤️. Performance is killer, no lags at all. Every app works perfectly butter smooth. camera is very good and very natural kinda photography. Inorder to use an iphone it should be used with lot of conditions. Like keeping the battery always between 30 to 90 to keep up the battery health.Battery and Design are only drawbacks for this ..."
Brilliant,"I gifted it to my girlfriend she is very happy with it but it’s not for show off, people might make fun of you using this product, I’m thinking of buying 12 pro for her in sometime"
Awesome,"It is an awesome device, you get all the perfomance you need in this small form factor size. Display quality is good, camera is awesome (could have been better). The only disappointment is battery, you will get an average of 5 hours after full charge. If you are looking for a device with excellent perfomance in a small form factor and can compromise with the battery then this one is for you."
Brilliant,"My first iPhone!! Expected size a little bigger, but it's pretty amazing and handy. More preferrable to girls because of its handy size and battery status. Display, smoothness and many things are *100 times better than Android. Also got the instant discount of 3600. Thank you Flipkart for the amazing product and on time delivery. Nice experience!"
Does the job,"this phone is a camera beast,has a fastest processor A13 Bionic ,most colour accurate display, best haptics, beautiful & slim design its dammn great but only the con in this phone is the bettery life its not good believe me i have tested this phone with video, social media,and gaming but bettery life is the only this that takes this phone back.so if bettery life is your priority don't go for this. rest all good."
Fair,"GIVING THIS REVIEW AFTER 15/16 daysBATTERY—Worst ,trust me if you’r a student and giving your classes online then kindly don’t buy,because it’s battery literally is the worst part of this phone....It’s been almost 15 days since I am using this phone and it’s battery Heath has decreased up to 3% and that to just within 15 days and trust me I did each and everything to make sure that it’s battery Heath don’t decrease so fast ,like I saw as well as read each and every article about how to keep ..."
Good choice,"So basically I shifted from android to IOS , this was the cheapest iPhone and this phone is not for those who play long gaming hour , although this phone can handle any game , battery backup is decent not great but not terrible either ,it last for almost whole day for me , I just use phone for Mail,Call’s,WhatsApp and some YouTube . Camera is good and the feel premium and is very light and using IOS for first time was not easy , almost took 2 day to understand this phone completely, now every..."
Mind-blowing purchase,"I am happy to share here the experience I acquired on Flipkart.  Apple and a great creation.  Awesome in terms of performance, not like the company said in terms of battery.  It takes a maximum of two and a half hours to fully charge.  As far as the camera is concerned we can only take the best portrait we know of its function after use, overall awesome.  The best phone for this price ..."
Simply awesome,"Just wow. This phone’s a breeze. The apple ecosystem is obviously extraordinary and with the phone’s chip and ram management one wouldn’t have no lag whatsoever. The camera is excellent and for my usage the battery is sufficient. Better carry a powerbank if you’re a heavy user. If you want a small form factor device and doesn’t want to lavishly splash money, then just go for this."
